id,title,organization,year_start,year_end,area,country,type,description,image_url,link_url
1,"Laser Performance Optimization","University of Sherbrooke",2024,Present,semiconductor-nanotech,canada,research,"Optimization of multi-junction laser architectures, waveguide structures, and tunnel diodes. Research mapping operational voltages while maintaining high device output power, spanning simulations and cleanroom fabrication.","https://image.pollinations.ai/prompt/laboratory-laser-beam-simulation-photonics?width=600&height=400&nologo=true","#"
2,"Proxy System for Reservoir Production","Applied Computational Intelligence Lab (ICA), PUC-Rio",2022,Present,machine-learning,brazil,research,"Reservoir simulation with CMG software, HDF5 dataset structuration, and transformer models trained as proxy systems to predict oil and gas reservoir production. Parallel computing with SLURM on HPC infrastructure.","https://image.pollinations.ai/prompt/oil-reservoir-ai-neural-network-data?width=600&height=400&nologo=true","#"
3,"Object Detection & AI Optimization","Lucro Colombia",2022,Present,machine-learning,colombia,industry,"End-to-end object detection using TensorFlow 2 API — training, ONNX/Float16 optimization, TensorRT deployment. CI/CD delivery via Docker containerization for production-grade reliability.","https://image.pollinations.ai/prompt/computer-vision-object-detection-retail?width=600&height=400&nologo=true","#"
4,"Photodetector Optimization with Genetic Algorithms","Federal University of Rio de Janeiro (UFRJ)",2021,2026,"machine-learning;semiconductor-nanotech",brazil,research,"Applied evolutionary genetic algorithms to optimize nanostructured photodetectors: material selection, doping profiles, and layer thicknesses across thousands of parallel multiprocessed simulations.","https://image.pollinations.ai/prompt/genetic-algorithm-laser-simulation-data?width=600&height=400&nologo=true","#"
5,"Chest X-Ray Classification Web Service","Applied Computational Intelligence Lab (ICA), PUC-Rio",2020,2022,"machine-learning;software-web",brazil,research,"Free web service for fast COVID-19 classification of chest X-Ray images using deep learning. Responsible for data QA, image preprocessing, and ML backend deployment integrated with user-friendly web interfaces.","https://image.pollinations.ai/prompt/medical-xray-artificial-intelligence-analysis?width=600&height=400&nologo=true","#"
6,"AI Synthetic Data Generation & Augmentation","Applied Computational Intelligence Lab (ICA), PUC-Rio",2021,2022,machine-learning,brazil,research,"Generated synthetic images and videos to expand datasets and improve model robustness in text, image, and video processing. Enhanced generalization in CV and NLP models through advanced augmentation pipelines.","https://image.pollinations.ai/prompt/digital-synthetic-data-generation-neural?width=600&height=400&nologo=true","#"
7,"Cognitive Search Web Service","Applied Computational Intelligence Lab (ICA), PUC-Rio",2021,2023,"software-web;machine-learning",brazil,research,"Free NLP-based information retrieval web service to search, classify, and extract critical data from millions of COVID-19 related scientific papers.","https://image.pollinations.ai/prompt/cognitive-search-web-app-analytics?width=600&height=400&nologo=true","#"
8,"e-mulate Software Application","Federal University of Rio de Janeiro (UFRJ)",2020,2021,"software-web",brazil,academic,"Translated legacy Fortran code to Python to develop e-mulate, a GUI for electronic state calculations in quantum well heterostructures using transfer matrix and Numerov algorithms.","https://image.pollinations.ai/prompt/graphical-user-interface-software-development?width=600&height=400&nologo=true","#"
9,"GaInNAs Epitaxy Growth (Ph.D. Thesis)","Fraunhofer ISE & PUC-Rio",2015,2019,semiconductor-nanotech,"germany;brazil","research;academic","GaInNAs material growth via MOVPE to reduce carbon background. Complete characterizations using AFM, Photoluminescence, and ECV for highly efficient multi-junction solar cell prototypes. Ph.D. thesis research.","https://image.pollinations.ai/prompt/solar-cells-wafer-microscope-lab?width=600&height=400&nologo=true","gainnas-epitaxy-growth.html"
10,"InAs Quantum Dots Characterization (M.Sc.)","Semiconductor Laboratory (LabSem), PUC-Rio",2012,2015,semiconductor-nanotech,brazil,academic,"Characterized novel semiconductor structures containing InAs quantum dots using high-precision optical and morphological methods. Engineered automated software for processing AFM image data. M.Sc. thesis.","https://image.pollinations.ai/prompt/quantum-dots-nanotechnology-glowing?width=600&height=400&nologo=true","#"
11,"Piezoelectric Displacement Control (B.Sc.)","University of Nariño (UDENAR)",2011,2012,electronics-hardware,colombia,academic,"Designed a closed-loop control system using interferometry to characterize and correct hysteresis and drift in Piezoelectric Disk displacements as a function of applied steady-state voltage. B.Sc. thesis.","https://image.pollinations.ai/prompt/piezoelectric-electronic-circuit-board-macro?width=600&height=400&nologo=true","#"
